INSTNM,STABBR,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,UGDS,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEBT_MDN,MN_EARN_WNE_P10,MD_EARN_WNE_P10,MD_EARN_WNE_1YR,MD_EARN_WNE_5YR,FTFTPCTPELL,FTFTPCTFLOAN,ROOMBOARD_ON,OTHEREXPENSE_ON,OTHEREXPENSE_FAM,CONTROL,CONTROL_PEPS,GRAD_DEBT_MDN10YR_SUPP
Miami Dade College,FL,0,0,0,0,0,1,0,40538,11892,NA,2838,9661,8500,5847,5500,7500,35600,40654,36815,48189,0.647,0.0095,NA,NA,6044,1,Public,98.08659778
University of Miami,FL,0,0,0,0,0,0,0,12215,73776,NA,57194,57194,15500,16464,14500,15250,72900,75328,54633,73338,0.1508,0.3327,16910,3846,3846,2,Private Nonprofit,185.5291246
Orange Technical College-South Campus,FL,0,0,0,0,0,0,0,1223,NA,NA,NA,NA,PS,PS,PS,PS,27800,33350,26460,36871,0.4604,0,NA,NA,NA,1,Public,PS
Paul Mitchell the School-Jacksonville,FL,0,0,0,0,0,0,0,124,NA,22298,NA,NA,9833,10556,8389,9833,17800,34949,19432,28155,0.5429,0.7143,NA,NA,NA,3,Proprietary,137.8216355
North Florida College,FL,0,0,0,0,0,0,0,756,9937,NA,3054,11400,PS,PS,PS,PS,31900,33929,38687,42591,0.5341,0,NA,NA,2900,1,Public,PS
University of North Florida,FL,0,0,0,0,0,0,0,13866,18984,NA,6389,20793,12043,12000,11168,11750,49200,56343,44241,55626,0.3816,0.2859,10192,4715,4748,1,Public,164.6544477
Nova Southeastern University,FL,0,0,0,0,1,1,0,6885,53370,NA,36300,36300,19025,16750,13500,16985,55600,59209,66811,71403,0.4264,0.4252,14588,3870,7110,2,Private Nonprofit,257.0903584
Northwest Florida State College,FL,0,0,0,0,0,0,0,3149,12187,NA,3246,11625,5656,5500,5500,5500,34100,39664,38825,45816,0.3383,0.3433,NA,NA,4376,1,Public,84.09240095
Orange Technical College,FL,0,0,0,0,0,0,0,107,NA,10608,NA,NA,PS,PS,PS,PS,29400,36650,25032,29307,0.4691,0,NA,NA,NA,1,Public,PS
Palm Beach Atlantic University,FL,0,0,0,0,0,0,0,2396,52625,NA,35900,35900,12625,13500,14520,13816,48000,49232,39993,48813,0.2888,0.4681,11690,7988,8942,2,Private Nonprofit,238.537446
Palm Beach State College,FL,0,0,0,0,0,1,0,20378,16700,NA,3050,10910,5500,4500,4500,5061,37800,41923,37708,47727,0.5323,0.1077,NA,NA,7155,1,Public,75.07038466
Pasco-Hernando State College,FL,0,0,0,0,0,0,0,6630,11441,NA,3155,12032,8593,6500,5500,7000,33100,39903,45099,48275,0.4454,0.0999,NA,NA,4411,1,Public,101.0868688
Pensacola State College,FL,0,0,0,0,0,0,0,6249,9125,NA,2365,9475,5500,5250,5250,5500,32100,36739,37504,41353,0.4765,0.0222,NA,NA,3150,1,Public,79.51248199
Pinellas Technical College-Clearwater,FL,0,0,0,0,0,0,0,645,NA,NA,NA,NA,PS,PS,PS,PS,32600,34627,31027,37853,0.3347,0,NA,NA,NA,1,Public,PS
Polk State College,FL,0,0,0,0,0,1,0,6114,12830,NA,3366,12272,6781,6095,6532,6500,35000,40624,45888,48130,0.5065,0.068,NA,NA,6855,1,Public,106.8223691
Radford M Locklin Technical College,FL,0,0,0,0,0,0,0,230,NA,5965,NA,NA,PS,PS,PS,PS,29200,35997,25630,32889,0.2867,0,NA,NA,NA,1,Public,PS
Saint Vincent de Paul Regional Seminary,FL,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Private Nonprofit,NA
Ridge Technical College,FL,0,0,0,0,0,0,0,403,27493,NA,3918,10398,PS,PS,PS,PS,24400,33484,26318,30350,0.8481,0,NA,NA,9000,1,Public,PS
Ringling College of Art and Design,FL,0,0,0,0,0,0,0,1704,73962,NA,52826,52826,26421,27000,27000,27000,43100,43325,28920,53698,0.2075,0.545,16300,5149,5515,2,Private Nonprofit,286.2449352
Robert Morgan Educational Center and Technical College,FL,0,0,0,0,0,0,0,805,NA,14914,NA,NA,PS,PS,PS,PS,31100,37543,28769,32842,0.6385,0,NA,NA,NA,1,Public,PS
Rollins College,FL,0,0,0,0,0,0,0,2567,70679,NA,56110,56110,22500,21500,20238,21385,53100,58295,38844,58887,0.1694,0.4299,15580,2790,3080,2,Private Nonprofit,270.3424388
First Coast Technical College,FL,0,0,0,0,0,0,0,373,NA,26077,NA,NA,PS,PS,PS,PS,25200,33784,29894,36533,0.4138,0,NA,NA,NA,1,Public,PS
Saint Leo University,FL,0,0,0,0,0,0,0,6717,40214,NA,27050,27050,13099,16417,14750,14250,50500,48364,47100,55370,0.5091,0.5371,15400,3372,3372,2,Private Nonprofit,267.9888693
St Petersburg College,FL,0,0,0,0,0,0,0,18984,11527,NA,2682,9286,12526,10100,8484,11000,36700,42557,45775,52194,0.4857,0.1514,NA,NA,4320,1,Public,178.8288728
Pinellas Technical College-St. Petersburg,FL,0,0,0,0,0,0,0,646,NA,28746,NA,NA,PS,PS,PS,PS,30200,36188,30857,36155,0.324,0,NA,NA,NA,1,Public,PS
