CountryID,Country Name,Region,World Rank,Region Rank,2021 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
166,Tonga,Asia-Pacific,115,23,57.5,48.1,23.3,44.6,84.8,53.7,95.4,70.0,69.9,66.4,73.4,40,20,5.8,20.0,25.0,22.3,39.3,0.1,$1,-0.1,2.4,"$6,940",1.1,4.7,13,48.0
167,Trinidad and Tobago,Americas,102,20,59.0,52.4,46.9,36.4,79.5,70.9,15.8,66.5,76.8,83.4,68.8,60,50,8.1,25.0,30.0,22.9,31.2,1.4,$45,0.0,-1.4,"$27,261",2.7,1.0,230,61.5
168,Tunisia,Middle East and North Africa,119,10,56.6,53.9,41.9,42.0,71.7,71.1,53.0,80.7,49.7,73.6,66.8,45,30,9.1,35.0,25.0,31.2,31.0,11.7,$149,1.0,1.6,"$11,201",16.0,6.7,845,71.1
169,Turkey,Europe,76,37,64.0,61.5,58.6,45.4,73.2,64.5,75.8,68.5,48.8,65.4,76.0,70,60,4.5,40.0,22.0,24.4,34.4,83.4,"$2,362",0.9,4.1,"$27,875",13.5,15.2,"8,434",33.1
170,Turkmenistan,Asia-Pacific,167,37,47.4,27.7,20.0,22.0,92.6,93.2,96.3,30.0,20.0,72.8,74.2,10,10,2.9,10.0,20.0,15.6,15.0,5.9,$122,6.3,6.3,"$18,200",3.9,5.1,"2,166",29.5
171,Uganda,Sub-Saharan Africa,106,14,58.6,44.8,36.5,25.0,73.2,91.6,63.2,44.9,83.2,78.9,67.4,55,40,11.3,40.0,30.0,13.5,16.7,44.3,$119,4.9,4.9,"$2,272",1.8,2.9,"1,266",40.0
172,Ukraine,Europe,127,45,56.2,48.5,41.1,37.9,88.7,48.2,87.7,63.5,48.7,65.8,79.2,35,30,2.9,20.0,18.0,20.1,41.6,44.4,$410,3.2,0.3,"$13,341",8.9,7.9,"3,070",50.1
173,United Arab Emirates,Middle East and North Africa,14,1,76.9,80.8,81.1,66.0,100.0,73.0,98.5,80.0,81.6,80.6,81.4,40,60,4.3,0.0,0.0,0.1,30.0,9.8,$744,1.3,2.3,"$69,901",2.4,-1.9,"13,787",26.6
174,United Kingdom,Europe,7,3,78.4,87.6,76.7,86.5,64.9,54.8,77.3,94.4,73.2,81.0,84.0,80,80,3.0,45.0,19.0,33.5,38.8,66.8,"$3,162",1.4,1.8,"$48,710",3.9,1.8,"59,137",85.4
175,United States,Americas,20,3,74.8,79.7,72.4,76.8,76.0,62.2,34.9,82.5,87.1,81.1,80.4,85,80,2.3,37.0,21.0,24.3,35.5,328.2,"$21,428",2.3,2.4,"$65,118",3.7,1.8,"246,215",109.0
176,Uruguay,Americas,44,4,69.3,68.1,66.8,75.7,72.6,66.9,80.5,72.3,70.5,72.5,70.8,85,30,9.6,36.0,25.0,28.6,33.2,3.5,$83,0.2,1.3,"$22,455",8.7,7.9,189,67.4
177,Uzbekistan,Asia-Pacific,108,21,58.3,57.8,50.8,30.5,92.4,79.9,98.3,73.5,61.2,60.3,55.4,20,20,14.8,22.0,7.5,14.8,25.9,33.6,$303,5.6,5.8,"$7,289",5.9,14.5,"2,286",29.3
178,Vanuatu,Asia-Pacific,97,18,60.5,53.3,34.1,39.5,96.8,61.7,94.9,49.4,54.5,75.5,61.6,65,40,9.2,0.0,0.0,18.0,35.7,0.3,$1,2.9,2.8,"$3,274",4.4,2.1,41,50.7
179,Venezuela,Americas,177,32,24.7,7.5,15.4,15.1,71.1,61.5,0.0,33.4,27.5,0.0,54.8,0,10,12.6,34.0,34.0,24.0,35.8,28.5,$202,-35.0,-18.7,"$5,990",24.0,19906.0,934,232.8
180,Vietnam,Asia-Pacific,90,17,61.7,51.3,35.9,38.0,80.3,86.0,82.8,65.2,62.6,69.0,79.0,40,50,5.5,35.0,20.0,18.5,21.6,96.5,"$1,001",7.0,6.9,"$8,374",2.0,2.8,"16,120",42.9
182,Zambia,Sub-Saharan Africa,159,39,50.4,37.2,26.2,30.5,71.1,78.5,5.3,66.1,45.6,71.2,68.2,55,50,8.4,37.5,35.0,16.2,26.8,17.9,$76,1.5,3.2,"$3,624",11.4,9.8,753,85.7
183,Zimbabwe,Sub-Saharan Africa,174,46,39.5,32.6,32.0,21.3,63.4,89.4,58.8,41.5,44.1,0.0,56.0,25,10,12.0,51.5,24.0,20.7,18.8,14.6,$40,-8.3,0.5,"$2,953",5.0,255.3,280,11.0
